腿 搁在办公桌上,办公桌
需要有金钱但只有抛开金钱才有灵感,金钱
不用刑满释放随时能平反,平反
金钱不该是动力真的动力该是某份情感,动力
看花花世界太花咯可以消音涂刷给你p,太花
说唱标兵出发切你beat给你超清无ＨＤ,超清
歪货包惊伏法接你底　把你们敲晕除假贴一起,伏法
Micphone check又耍了几个回合,回合
Skippy shady配合 你未必还想睡哦,配合
说对了 就不要约到屋头躲在被窝,被窝
cdc狠货最多 把其他小岛废了,小岛
Micphone check 嚯哟 check 说唱会馆,会馆
都看起来模样最懒 起flow听播放会闪,播放
反正我觉得说唱歌手不能不说草,歌手
我刀已经磨好想说全部搓到 逮到你莫跑,搓到
你想在这儿活到不学到哎 那注定一辈子莫搞,活到
要会说话要假 裤儿莫挎 说唱挣不到钱哇 那就叫说耍,裤儿
我听不得这种观念 不管你两遍三遍 你还是会看到我长根说唱的天线,我长
你们的世界肯定和我无关 有人受苦有人选择赚钱,受苦
每个城市只剩恐惧欲望在蔓延 所谓成熟了就是担心自己的饭钱,饭钱
选秀的乱选 警察逮到乱碾 电视机打开 但是找求不到看点,乱选
额 我开始乱编那我就开始乱编 不存在 失败到成功我准备了一万天,开始
歌词写一万篇 我的意志不得灌铅 把我们韵脚围起来 都可以环绕地球半圈,韵脚
我乱说乱奸 2012来了换天 活到这个世界就是 半疯半颠,乱说
你看得到我们的说唱永远不得变迁 社会变化万千 但我们现在换班,说唱
说唱不断产 不断版 只懂皮面面的都是慢版 正铲 反铲 我乱铲,皮面
他们不带感 不得快感 听得不耐烦 那就放到菜板上 带到快板唱 都切外现唱,菜板
快点还差点你们快赶上 不得行了就快转让,差点
你们这些卖伞将些 站边上 都快闪让 说得不在点上的人些你们都待解放,解放
你听好 快快快把你所谓说唱歌手的头衔给我辞去,歌手
一清早就听到你持续念那些听了让人没食欲的词句,词句
那么我直来直去 你若还不识趣,识趣
就不要再怪哪个针砭时弊
话说中国人口有十几亿 跟你是同事的就有十亿,同事
但你还执意说些不切实际 脚也不踏实地,执意
空有名气没求得实力,求得
你的日记释义了loser的失意 这样日益退步 你还不如失忆,失忆
给你平铺直叙 败得势必不能直立 不如等死的你致力倒撕日历,等死
听这个押韵 太跳 太绕 太爆 太燥 承认我是你的super idol,押韵
管你听不听的懂 听得懂听不懂都打得你脑壳扯了拐咯,拐咯
说iron mic哦 被melo逮了
还接到摆嗦？把你flow灭了甩咯,摆嗦
那爬了拜了 提前给你say goodbye咯,提前
Slaughter house and tech n9ne嗦
给你看哈哪个能叫帅阵容 外人不懂要赶快认耸,认耸
从不care那些唱片卖正红的 因为我们最不爱顺从,唱片
错了就错了咋个变对？ 过了 牛皮吹破了 咋个面对？,吹破
节奏在拐弯 我们继续摆三 宰翻到把你电话打欠费,欠费
说唱做变味哪个来买单？不买单就甩翻 趁早了劝退,买单
到底拉不拉 走远得听众只看大 咖不咖,听众
等我口水喷到你脸再拿抹布抹,喷到
我的段落还加不加 flow花不花 你夸不夸 不夸你瞎不瞎快被我掐一掐,加不加
挖脱鼻屎跟你搭一搭 拿个相机咔一咔擦 再跑到微博上 发一发,挖脱
配到这首歌是教育的目的 我的主意是再把屏幕 刷一刷,配到
你们看到没有听到没有看过没有听过没有这个才叫说唱分量提一提,没有
不要效果器做效果都有效果自燃燥火 麦克风到我 就听flow不需要 808,效果器
对我来说韵脚并到押一押 把那些菜鸟压一压 把水平往上拉一拉 卡一卡,往上拉
你说下个韵该咋个押 安 咋个押 哈密瓜,哈密瓜
根本就不想跟你们两个毛起莫得必要,不想
听你们的歌你们还早 不要急躁 见识太少,见识
随时都摸点草把你们搁到那缩到那倒,搁到
快点偷偷儿的跑 劝你悠到点搞
你们真的不要感觉太好 把你们都收拾得到,收拾
看把你们纠不纠治得到 咋可能纠治不到,纠治
让耳机屏蔽所有鬼扯,鬼扯
教科书没教会我委婉,教科书
动不到的还在抱怨腿软,腿软
每晚moving moving
从美利坚到china new level,美利坚
可以假装没看见,假装
但周围放我们歌
Monday听可以Sunday也可以
早晚榜单全被我们波及,榜单
词典头里没反悔,反悔
一个bar一个烟嘴,烟嘴
哈利路亚说给我自己听,路亚
总让enemy bad trip
把亚洲风格融进trap show里,融进
千王之王不靠摸牌手气,摸牌
厚积薄发只用两成功力,只用
看不惯的永远缩在洞里,看不惯
出门玩耍,玩耍
大晴天,大晴天
目光锁定火辣身材扫射,扫射
要电话等到她会自己给,等到
两秒内攻下最坚固堡垒,堡垒
从未犹豫不决
玛莎拉蒂写在未来剧本,剧本
我的每字每句都是一把利刃,利刃
忽略你的忐忑
让耳机屏蔽所有鬼扯,鬼扯
教科书没教会我委婉,教科书
动不到的还在抱怨腿软,腿软
每晚moving moving
有人想赚钱 想赚钱,赚钱
敢怒不敢言
不如当一个 当一个演员,演员
想参一脚 参一脚
我们
免谈,免谈
照样大摇大摆
一楼做个马杀鸡,马杀鸡
不是没得话摆,没得
无限的法力,法力
制造倾盆的大雨,倾盆
冲刺顽固不化老古董胜过给个差评,个差
就像泛滥的,泛滥
网红玻尿酸,网红
早晚被勤奋的大屁股芭比当上哥佬关,芭比
就是这样的
太多可笑的,可笑
想与众不同又俗不可耐的不晓得哪来的光荣感,光荣感
但同时演出也不断搞定,搞定
天刚刚亮就会响起闹铃,闹铃
每一天升级像参加奥运,升级
别再给私信我晓得我使命让会馆更知名,私信
让耳机屏蔽所有鬼扯,鬼扯
教科书没教会我委婉,教科书
动不到的还在抱怨腿软,腿软
每晚moving moving
DROP DAT GIRL ASK 这是OVER TIME
耍来 耍来 时针指向5 6都不管,耍来
THINKING THINKING 异次元的空间到处转,空间
会MAKE ME EVERYTHING
现在有家里不想回去,不想
烈酒把胃给烧成灰烬,烈酒
脑袋里没有其它OTHER THING,脑袋
别期待我会唱些大道理,大道理
我对不起我二本文凭,二本
白天在STUDIO
现在 游荡,游荡
酒精的SWIMMING POOR,酒精
会变成NAUGHTY BOY,变成
SUPERMAN 无法阻挡,阻挡
杀杠的NAUGHTY BOY,杀杠
找匹野马草原我自备,自备
高速信息年代吃荤要直接,吃荤
得到她PHONE NUMBER必须要智慧,智慧
趁到所有人吃醉,所有人
干脆就来点SWING
DROP DAT GIRL ASK 这是OVER TIME
耍来 耍来 时针指向5 6都不管,耍来
THINKING THINKING 异次元的空间到处转,空间
会MAKE ME EVERYTHING
世界 和平 NOT NOT MY EVERYTHING,世界
耍的 过瘾 NOT NOT MY EVERYTHING,过瘾
当我酩酊大醉走路动作就像RUNNING MAN,走路
满口胡言乱语但是ALL ABOUT MONEY MAN,满口
那么多的人总要回家,回家
那么多的钱总有人花
上传一张我的爸爸照片他们夸奖帅得就像周润发,周润发
不需要戴个手表,手表
对时间的强迫症,强迫症
随时随地能够提醒我精确地控制到每分每秒,提醒
到嗨到了爆 根本就不想睡觉,睡觉
出门还忘记了喂我的猫,出门
在它的巢穴,巢穴
像一位娇贵的小姐,小姐
我看猫它也LOOK AT ME
并不在乎门卫敲门声是WHO THAT BE,门卫
而我的猫的眼里只有它的三文鱼
DROP DAT GIRL ASK 这是OVER TIME
耍来 耍来 时针指向5 6都不管,耍来
THINKING THINKING 异次元的空间到处转,空间
会MAKE ME EVERYTHING
很有名
你的车子不要幻想伸手停,车子
烤烧烤,烧烤
豆腐皮,豆腐皮
河边吹吹要比廊桥更有名,廊桥
Oh卖烟小妹WOW对到你笑,小妹
你要不买WOW马上气跑
要喝醉了,喝醉
就会遇到,遇到
大爷牵到猴哥敬礼几块钱打发是基本技巧,猴哥
也像太古里WOW 有很多T WOW,太古
贼娃子多,娃子
要跟到你 WOW,跟到
那些那些单身女,单身
记得要看好自己,记得
不信看穿校服娃娃都在把你盯到起,校服
九眼桥的对面是兰桂坊很多夜店,兰桂坊
要问我特点是整容女的刀片脸,刀片
跑车保时捷跟兰博基尼很显眼,兰博基尼
旁边总有几个在拍照片的杀马特,拍照片
看浓妆艳抹的
可能刚刚上大学,大学
潮人搭配很可以,潮人
会跳街舞也打碟
你问喝完去哪里,喝完
有去KTV
冷淡杯的
走不回去,回去
开房间撒,开房间
打栽栽 脑壳转圈圈,转圈圈
打胡乱说和你讲,胡乱
勾肩搭背称兄道弟,称兄道弟
组队往男厕所里闯,男厕所
妈老汉电话打不通,老汉
因为正在发酒疯
深更半夜掂到马桶吐完第二天继续喝,掂到
偶尔
咖奈吉制作,咖奈
当午夜黄昏落下 照在房间过道 顺手烟盒堆在桌上,烟盒
显得有些错乱 车水马龙窗外 把街道占了过半,车水马龙
都从一天行程迫降 对城市不再眷恋 笔记本电量衰弱,迫降
灵感也逐渐消退 但我一直呆着 像守着我的堡垒,堡垒
每一步都怕猜错 往目标高地靠近 过程中有太多诱惑,猜错
才有更多的焦虑 偶尔有时候 我会离开房间,我会
忐忑不安 却只能看着飞过的航班 楼下的女生 早就不住在旁边,飞过
从她穿校服到结婚 几个大太阳天,校服
一晃而过 不断判断道路 错的只能一错再错,道路
几个字不能概括 一根稻草来抱住 不在乎谁的光顾,稻草
毕竟周围一切消失太快显得仓促 在冒险的世界,冒险
享受这一切 朋友上了班 拉开更多距离,拉开
表情定格手机 分享着各种心 情 向下滑动,定格
时间随父母白发聚集 但你还在 在物质欲望无法自拔,白发
偶尔也想停下 独自苦恼自责 就算遍地镶金,镶金
换不来半寸光阴 但前方从满未知 我们都不愿意驻足,驻足
一些money cone 一些money back 没有关系要成功我知道不简单,关系
世界很精彩 一点点危险 但是哥们说唱全都站在我这边,哥们
我的故事正在发生它永远不能调头,调头
估计已经搞忘有些事情还在保留 每天都在这个城市路过小巷高楼,小巷
不晓得得不得直到长大就变成老头 我感觉偶尔,老头
我跟你渐渐相近 空气都跟到凝聚节奏里面伴随钢琴,跟到
周围是一片黑暗只剩下了半寸光明 昼夜不停的切换切把安全换成money,换成
我感觉偶尔 我不停查找 咋个能把一个石头变成玛瑙 这个世界有时宽敞有时感觉狭小,感觉
可能是偶然 可能一切都是恰好,可能
我偶尔就像做梦 我梦到走过大山 我走到银河边际行星就在周围划圈,划圈
我梦到吃不起饭 我感觉口渴啊干,吃不起
我梦到无数把刀把握心脏手脚插穿 把所有痛苦都从灵魂里面拔出 你选择啷个燃烧生命这根蜡烛,拔出
就像是海洋上面只剩一首伐木 偶尔都翻来覆去想要划到峡谷,伐木
我感觉偶尔 只是偶尔 只是偶尔,感觉
我感觉偶尔 只是偶尔..,感觉
只是偶尔一些money cone 一些money back 没有关系要成功我知道不简单,关系
世界很精彩 一点点危险 但是哥们说唱全都站在我这边,哥们
诶 李老师的嘛 随便窩,李老师
龙门阵摆些悬的,龙门阵
从清早八晨到天黑,天黑
把死娃娃的偏见breaking,偏见
不是外国的月亮圆些,月亮
初恋的feel分分钟搞定,搞定
加80直接免单,免单
给球经不懂的颜色看哈,球经
有一天要说遍全国,全国
商场搞兼职的老嬢儿,兼职
烧烟抽包口的小娃儿,包口
随便找个在哪吃抄手的,抄手
都晓得 穿背心儿爆眼子老头儿,背心儿
成都话漫游银河系指南,漫游
太婆看他也会忘记矜持地一直喊,太婆
牙尖十八怪的属于塞话多,牙尖
成都说唱不得往台下梭,说唱
就算和隔壁子素芬儿才拉豁,子素
让方言艺术不可能再滑坡,滑坡
散打评书rap跟到过来,跟到
少来神戳戳的攻略等我破解,戳戳
更多扯把子会有更多错觉,把子
就像李老师就在你旁边坐起,李老师
诶 生活总是扯滑的,扯滑
从此离行去感受哪种墨镜儿,离行
no 当块牌坊你想溜想把taker崴到,牌坊
空不下嘴,不下
嚯哟~东西烫 爪了个梦jio我才刚刚唱,东西
flow像拉夹夹车增点儿遭抵死在电线桩桩上,夹车
感觉相当旷,感觉
好多哥子脚杆翘起,脚杆
必须 烟要 拗起 说
卡二条 碰起 三条杠了自逮 单钓幺鸡 割,碰起
我说你在烧你婆 全部都割些相公麻胡牌,麻胡
觉得死亡机枪比我叼的rapper来嘛单挑,机枪
麻烦你把唱功拿出来,唱功
是美女跪起对你前头喂花生吃,跪起
想结婚对比渣 可能配起差 这是最起码 yes,配起
劳斯莱斯宝马奔驰坐起差 yes 买是为你家宣至美,宣至
被比花椰子 被戴绿帽子 还发现她嘴巴会起花,戴绿帽子
呸 嘿 你们都被欲望堵住了嘴,了嘴
相同的人但是处在不同的成都下,处在
不同的人但是都是说的都是相同的成都话,成都
张口说各种flow的成都人你看到能不怕？,张口
我总是在想
当我穿过风雨交加,穿过
我生命力太强了没人能够冲击到它,生命力
我经常我都把我自己
封闭到家,封闭
我不断试图证明我们做的东西好烫,试图
有太多人问我搞说唱有没钱拿,说唱
会不会浪费时间浪费青春年华,浪费时间
我相信总有一天肯定会有钱拿,有钱
我也晓得灯红酒绿大城市很繁华,灯红酒绿
我在人群当中穿梭感觉像风,穿梭
等吐出一口烟雾让它飘到云层上空,飘到
打开我的音响才能把我放松,音响
我就只想呆到这个地方然后大声唱歌,唱歌
音量越大我的心情越好,音量
我说成都话在这儿你听不听得到,成都
我在这条路上不断努力拼命的跑,拼命
我没法看清,看清
朝远方走 远方走
别告诉自己,告诉
你无法前进,前进
每一天路过相同的街,路过
城市里的人们感受伤痛和high,感受
人群中我帽子不管正戴还是歪,帽子
正在准备一场赌局要有把握才肯开,赌局
大脑想把所有精彩都写入,写入
灰尘再大也挡不到我走的路,灰尘
看到不断拔地而起的高楼,高楼
你我都清楚没时间再次举杯消愁,消愁
我叼根烟不点火,点火
暴风雨宣布赶走,暴风雨
梦想到开起跑车跟哥们些耍的Getto,哥们
追梦跑的飞快,追梦
难免会一脚泥
我才不管他
不管你猛犸还是鳄鱼,猛犸
全部都放假,放假
停下的在那指指点点不想说你好哈,指指点点
看到 伴随鼓点敲打?,鼓点
前方更潇洒
我没法看清,看清
朝远方走 远方走
别告诉自己,告诉
你无法前进,前进
But now im here必须
But now im here必须
嘿街头的孩子快放下手里的啤酒,啤酒
当我把音响开启,音响
是吸引你的理由 来听,理由
我如何炫技 饶舌的Beatles,饶舌
被内行敬重外行心动Haters金盆洗手,金盆洗手
独特的嗓音,嗓音
头顶跳动赏金,赏金
轻吹气 吹开面前乱飞的无头苍蝇,轻吹
真的差劲 If u only chase that paper paper,差劲
模仿都仿不像,模仿
就像没牌照的黑车,黑车
请你看仔细
咒语用心记,咒语
看CDC 统领中文说唱界的音律,音律
自然而来的名气,名气
每首歌都能盈利,盈利
哥们儿其乐融融,哥们儿
要的就是一种随意
现实太吓人,吓人
But now we here 必须
世界在下沉,下沉
But now we here 必须
不管我们属于哪里,属于
No matter where we are but now we here 必须
舒服的躺在沙滩上晒太阳,晒太阳
身边围绕着美女和海浪,美女
给心情找个加油站,加油站
麻烦事都推到下周算,推到
人生就一个青春,青春
我想让我的回忆更缤纷,回忆
没野过怎么算人生,没野
代表是活得不认真,代表
我不想僵硬微笑,微笑
内心在大喊拒绝当配料,配料
所以请你不要在那表演自闭,自闭
快点出来浪生活需要刺激,刺激
整个世界都在等你示意,示意
如果不知道该怎么做,知道
那就把目光先投向我,投向
良心劝说不当托,劝说
所以你学会没有,学会
我带着疑问望向了北斗,望向
枯燥的生活就像是肥肉,肥肉
一旦你深入就很难回头,深入
你说我快要30但看起像20岁,看起
随时容光焕发都像在过birthday
别来和我探讨烦恼乱找玩笑开,别来
幸福感把我环绕烦恼难找来,幸福感
?舒服的躺在沙滩上晒太阳,晒太阳
身边围绕着美女和海浪,美女
给心情找个加油站,加油站
带错铭文也能秀翻,带错
人生就一个青春,青春
我想让我的回忆更缤纷,回忆
没野过怎么算人生,没野
代表是活得不认真,代表
是想当王者微笑,王者
还是在青铜里当个配料,配料
所以请你不要在那表演自闭,自闭
快点出来浪生活需要刺激,刺激
整个世界都在等你示意,示意
如果不知道该怎么做,知道
那就把目光先投向我,投向
赢了不靠人头多,不靠
请让我看到你超神,超神
penta kill写在你的脑门,脑门
从青铜变成王者的高人,王者
而不是像个白痴一样永远在那骚整,骚整
要当就当个英雄,英雄
要问哪个把我能形容,形容
通通 Let it go,通通
习惯性的 You already know,习惯性
Late night 梦见你在她身后,梦见
太动听却不曾 Always Think Bout Me,动听
就像来自外太空的第三类的袭击,外太空
毫不留情  摧毁我根据地,摧毁
如果每个人都享有一项特殊功能,享有
不一样的空间我还站在中间,空间
张学友的情歌太浪我不会唱,张学友
还是冥顽不灵那么全都塞进后备箱,后备箱
再也不想为情所困  赶紧Make Dirty Money,不想
你太美丽叫你Baby Come Tell Me Your Name,太美丽
忘了太多习惯  忘不掉的熟悉味道,忘不掉
删除未通关的进度  Play Video Game,通关
现在情况比较紧急迫在了眉睫,迫在
包括曾经说的鬼话 I Don’t Wanna Hear,鬼话
我站在凌晨的路边回味你白天说的话,回味
情感正在翻腾  像个500斤的胖子反复的劈着叉,翻腾
生活是那么疯狂  不停有新的碰撞  你暂停我的匆忙,碰撞
说非我不嫁  我感觉像被你迎面的一巴掌给扇到了加利福利亚,说非
Oh 你真酷  让我说不成不  面对你我变幼儿园程度,幼儿园
尽然会想走进爱情坟墓,坟墓
感觉在我兄弟面前没法抬起头,没法
我想花钱买理由  结果爱情无价,无价
看到我就像sunshine,看到
一辈子都帅 还有花不完的钱,不完
我的钱还有帅,还有
我要把钱还有帅,还有
我要把钱还有帅,还有
我要把钱还有帅,还有
我要一辈子都帅 当然包括我的脸,包括
傲气不能卖 它能帮我涨尊严,不能
噢 我的天 路不能偏 哪怕正迎面过来的是拳,不能
也绝对不会退后 也不会往左 或者是往右,往右
我的方向就在钱 就在钱,方向
让身边人像星星亮晶晶 你告诉我怎么就能少的了钱,告诉
如果不懂我的帅 那就别跑过来碍眼
毕竟很多人欣赏的帅 看起来都实在是太肤浅,欣赏
太多的帅都是靠演 而我把帅种在了心里面
所以无论我想什么 做什么 围绕终究都是帅和钱,围绕
看到我就像sunshine 快说baby好刺眼,刺眼
我的钱还有帅 让我挥霍几十年,挥霍
在社会上面找到我的位置 就像教室的讲台旁边,讲台
独特的地理配置 让我很容易能看清房间,看清
用我的优质 多占点优势 让自己变的更加亮眼,亮眼
才能找到更多的钱 找到更多的帅 把它们放在旁边,找到
看我的时候就别带偏见 它会给你双眼拉上窗帘,窗帘
我能教给你不止点点 完全的包含了善恶两面,教给
凡人就别来和我比划 我本天边的一处仙,比划
看着我捅破一片天 就行了 别跟这乱发言 就听着,捅破
我会充分利用我的时间 赚到那些我想和我应该赚的钱,充分利用
这是我的目标它会实现 而他们只能继续的上当受骗,目标
捧着生了锈铁饭碗 看我的碗是金色,生了锈
我在温暖的温室 他们心里都是冰的,温室
慢慢所有的好运都会和我非常亲热,好运
看到我就像sunshine,看到
一辈子都帅 还有花不完的钱,不完
我保持全身心的投入,全身心
全身心真情流露,全身心
全身心只有前进,全身心
没有留半分的后路,后路
为了成功能累到呕吐,累到
也接受失败的羞辱,羞辱
我接受一切可以成功的方式,接受
除了跪着走路,走路
我配得上我所拥有的,配得
靠的是行动不空吼,行动
我不光动口还动手,动口
工作到深夜不是梦游,梦游
把细流壮大成了洪流,细流
为了今天把阻碍都冲走,冲走
看我把阻碍冲走,冲走
你目瞪口呆了吧？
朋友,朋友
我要赢的让人心服口服
我会赢的让人心服口服,我会
我会赢的让人心服口服,我会
看着我和成功情同手足,看着
出入森林深处的夜晚,出入
最老练的猎人看到我都要吓碎胆,吓碎
他们的喊叫声在天空中不停回转,喊叫声
你听得最多的是
因为遇到了野兽,野兽
内心不能接受,内心
换成是你也吼,换成
这种品种的野兽,野兽
肤色是yellow,肤色
遇到了你也吼,遇到
羊群不是我归宿,羊群
抬头走进下个维度,维度
力量就是我的退路,退路
勇猛只是为了活得不委屈,活得
为了生存互相追逐,追逐
自然的法则,法则
自然在维护,维护
我不是猎人,猎人
也不想当猎物,猎物
野兽这个身份让我活得更美丽,野兽
牙齿磨得锋利,牙齿
随时准备攻击,攻击
爪子不抓空气,爪子
喊我移动的凶器,凶器
云涌因为风起,云涌
地动需经过我同意,地动
不得任何的东西,不得
能够承受我的冲击,承受
我的眼睛就像夜明珠,夜明珠
照亮了眼前世界,照亮
特别清楚
张嘴能吞山咽海,张嘴
特别醒目,醒目
粒粒皆幸苦,粒粒
野兽,野兽
出入森林深处的夜晚,出入
最老练的猎人看到我都要吓碎胆,吓碎
他们的喊叫声在天空中不停回转,喊叫声
你听得最多的是
因为遇到了野兽,野兽
内心不能接受,内心
换成是你也吼,换成
这种品种的野兽,野兽
肤色是yellow,肤色
遇到了你也吼,遇到
努力推进我的速度太快,推进
没人比
如影随形
风力变成大自然的兴奋剂,兴奋剂
塔利班的狠,塔利班
外加中情局的洞察力,中情局
通关所有,通关
食肉动物下一步跟子弹比,子弹
我在找意义,意义
我的动力多,动力
不只有人民币,人民币
我像头黑夜里的豹子,像头
面对狼群冲进去,冲进去
狼群攻击我的身体,狼群
并想吞并我的自由,吞并
我在草原正中间吼,正中间
把皮肤换成金的,换成
獠牙换成金的,獠牙
爪子换成金的,爪子
我也拼了命的
唱你现在听的
软的也有硬的
一直到不停的兴奋起来,兴奋
把远的扯到近处
就实现了进步,实现
坚持我的拼图,拼图
拼出我的音符,拼出
其他的自己领悟,领悟
我地盘千金不换,地盘
出入森林深处的夜晚,出入
最老练的猎人看到我都要吓碎胆,吓碎
他们的喊叫声在天空中不停回转,喊叫声
你听得最多的是
因为遇到了野兽,野兽
内心不能接受,内心
换成是你也吼,换成
这种品种的野兽,野兽
肤色是yellow,肤色
遇到了你也吼,遇到
通通 LET IT GO,通通
习惯性的 YOU ALREADY KNOW,习惯性
LATE NIGHT 梦见你在她身后,梦见
太动听却不曾 ALWAYS THINK BOUT ME,动听
就像来自外太空的第三类的袭击,外太空
毫不留情  摧毁我根据地,摧毁
如果每个人都享有一项特殊功能,享有
不一样的空间我还站在中间,空间
张学友的情歌太浪我不会唱,张学友
还是冥顽不灵那么全都塞进后备箱,后备箱
再也不想为情所困  赶紧MAKE DIRTY MONEY,不想
你太美丽叫你BABY COME TELL ME YOUR NAME,太美丽
忘了太多习惯  忘不掉的熟悉味道,忘不掉
删除未通关的进度  PLAY VIDEO GAME,通关
现在情况比较紧急迫在了眉睫,迫在
包括曾经说的鬼话 I DON’T WANNA HEAR,鬼话
我站在凌晨的路边回味你白天说的话,回味
情感正在翻腾  像个500斤的胖子反复的劈着叉,翻腾
生活是那么疯狂  不停有新的碰撞  你暂停我的匆忙,碰撞
说非我不嫁  我感觉像被你迎面的一巴掌给扇到了加利福利亚,说非
OH 你真酷  让我说不成不  面对你我变幼儿园程度,幼儿园
尽然会想走进爱情坟墓,坟墓
感觉在我兄弟面前没法抬起头,没法
我想花钱买理由  结果爱情无价,无价
今天天好蓝但我差点变脑瘫,脑瘫
我被这天气骗了今天没穿棉毛衫,棉毛衫
下午还好点,还好
但晚上真的活在人间好难,人间
我站在街上打不到车,不到
望着路边炒饭,炒饭
煎个蛋鱼香肉丝炒饭,鱼香肉丝
当然不能免费的取暖,取暖
我不要小米辣,小米
我凶狠的盯着对面老板,对面
我在试图警告他,警告
不要对我用他的这个坏习惯,坏习惯
端着劣质纸碗继续等着空车,纸碗
我不会嘀嘀打车支付宝是空的,支付宝
抽一支烟盒上写着v8的红河,烟盒
我食不下咽因为饭里太多葱了
Baby棉毛衫你现在是在哪里,棉毛衫
好后悔丢下你一个人出去party,丢下
在这个冬天 我好想去冬眠,冬眠
我走在路中间 我回想着从前,回想
冬天一个短袖一个外套我就过了,外套
从来没有冷红脸,红脸
现在是个什么情况,情况
我都快要冷死在了马路的正中间,正中间
时间不等人 越大越不抗冷,不抗
如果再打不到个车,个车
我即将变标本,标本
我为人挺不错的
行得端又坐得正,行得端
为什么要让我风里来又雨里等
Baby 棉毛衫你现在是在哪里,棉毛衫
好后悔丢下你 一个人出去party,丢下
让我秀给你看什么叫迷幻舞
先把内裤露一半你站住,内裤
色情节目不醉都像奔跑的野猪,野猪
一二三四就再来一次
旁边挂着共产主义,共产主义
不好意思我只会扭头一步三回头,扭头
头回看那还不跟着学起来,回看
不然我怎么活
AA那个我想请你跳一支舞
要不要紧都逮到杯杯喝不得等哈你一直吐,杯杯
迪斯科点点斯扣迪迪everybody fly with me,斯扣
如果你听不懂或者懂不起,不起
我们告诉你这是cdc,告诉
wanna a girl给我你勒手
全身细胞在跳动让你屁股扭,跳动
所有性感勒漂亮勒都还没走远,都还没
感觉嗨就架实吼,实吼
我是你的Mr.righ
今晚请跟我走,跟我走
哪有那么多py
我只想一首迪斯科扭完这局就回家,扭完
自然而然自嗨莫甩啦批塞塞
为much你猜猜,猜猜
咋子吼了还不扭
喝了酒不跟到抖,跟到
留一手嗦留洋狗,留一手
扭完就回家,扭完
香槟酒在缩喉咙,香槟酒
模特儿在身后按摩,模特儿
大晚上做的白日梦
听得到…,得到
我出生在成都 我来自成都,成都
就是这种温度你们不用管我,温度
到底成不成熟,成不
只用最直接的方式证明I'm a f$$kin' man yeah,只用
我不靠说唱赚钱 我讲真话,不靠
他们都想晓得真相,晓得
做人稳当 做歌滚烫,做人
我的身上 背的希望和现实,现实
就是那么提劲的阵仗,提劲
你造就标准模型好像 Free.T did it like this,造就
这个世界没得人可以拿来和我对比,没得
如果你听到了 代表你清楚了,听到
调到循环播放,播放
这种方式不会过敏,过敏
很过瘾 抽屉里收藏我生产的货品,货品
生活不再boring 多亏P.E.I,生活
目标是一直不停传唱 till I die,传唱
这不是电视购物广告,购物
你不用产生误会,不用
如果碰巧你感冒,感冒
病毒我帮你击退,击退
好多乞丐都是假的,乞丐
假说唱歌手哑了,唱歌
说想说的讲真的坚持这个法则,法则
Now 亮我装束 露半个屁股,装束
新手老手们全都在嫉妒,新手
有人随波逐流 没半点意思,意思
要邮址或百度 我给你地址,邮址
从1993 脚步我从未停留,停留
Whatever 上学上班梦想我挂在心头,梦想
谁在乎歌词本的厚,歌词
麦克风的Show,麦克风
夕阳照射放学后 憧憬未来变优秀,放学
这就是我说话的方式,说话
押韵是一种装置,押韵
flow 我随心控制 咬文嚼字对你讽刺,讽刺
靠实力统治 不怕你小子老是找事,找事
我闪耀像宝石 尖叫声你们保持,尖叫声
你造就标准模型好像 Skippy did it like this,造就
这个世界没得人可以拿来和我对比,没得
如果你听到了 代表你清楚了,听到
小朋友些辛苦了,小朋友
故事我来挨到写,故事
答案我来帮你解,答案
跟红唇加短裙的fashion发生感情,红唇
妙语连珠的产品 设置成彩铃,妙语连珠
不是黄和尚念经 O.G Skippy feat Free.T,念经
给你打个点滴再纹个花体,花体
Rapper在成都City 我唱得欢喜,欢喜
啥子普通话不普通话都耍得安逸,普通话
你造就标准模型好像 Skippy did it like this,造就
这个世界没得人可以拿来和我对比,没得
如果你听到了 代表你清楚了,听到
小朋友些辛苦了,小朋友
Tom and Jerry 超级臭美,臭美
我们吊儿郎当每天都在happy birthday
这是你们最喜欢的TSP and MASIWEI,喜欢
挤掉痘痘 换上Polo,痘痘
镜子里面这么帅我还有什么要求,镜子
Take a photo 到处走走,走走
商场里面shoppin顺便当把fashion model,商场
很多人讨厌我 what 理都不要理,讨厌
不要耽误我们享受人生享受好天气,享受
让我带她回家陪我完成下一个作品,回家
水瓶座 24 不要轻易爱上我,水瓶座
双鱼座 24 还在努力爬着坡
世界波 别小看了我 画出漂亮的弧线 像罗纳尔多 X2,弧线
Tom and Jerry 超级臭美,臭美
我们吊儿郎当每天都在happy birthday
这是你们最喜欢的TSP and MASIWEI,喜欢
他们讨论我像讨论YaoMing,讨论
给你注射鸡血变的有劲That's what I talk,鸡血
高举双手是我口令That's what I talk,口令
他们讨论我像讨论YaoMing 都那么出色,讨论
你们讨论我像讨论YaoMing that's what I talk,讨论
抬头看我,抬头
但是用手都够不到我的身高,身高
其实都没有贞操,贞操
哇 他们好闷骚,闷骚
我不想和他们深交,深交
Shout out to 小嫩桃,小嫩桃
我们撒的都是真钞,真钞
Money power都在爆炸,爆炸
不用哈搜哈也能开宝马,哈搜哈
每天夜里像毁天灭地般
