lyric,topic
你曾对我说 把幸福留给我,失恋
没有你我不能够深呼吸,失恋
喜欢听你的甜言蜜语,失恋
就算爱过和痛过 都愿意,失恋
为何祇留下痛苦的回忆,失恋
你曾对我说 把幸福留给我,失恋
没有你我不能够深呼吸,失恋
喜欢听你的甜言蜜语,失恋
就算爱过和痛过 都愿意,失恋
从幼年期 到究极体 经过多少不为人知的路,艰难不易
追究原因 这囚禁你 是生死存亡的乌班图,艰难不易
我是新的怪物 还有新的态度,艰难不易
没走过这条路的 别问我的来路,艰难不易
这个圈子不会把你拽入 你得自己开路,艰难不易
别再藏着掖着 成王败寇,艰难不易
跟着统帅迈步 像代数 我带入,艰难不易
节奏的迷宫点燃石烂海枯,艰难不易
打破陈词滥调 建造新的方舟,艰难不易
大火烧了七天七夜 声镜把我载入,艰难不易
为何这么快速,艰难不易
跟不上就退出,艰难不易
这场进化太突兀,艰难不易
我从最深的土地底下破壤而出,艰难不易
亿万年前的光和雾,艰难不易
如同沉睡了太久的远古生物,艰难不易
终将撕裂束缚 变成参天树木,艰难不易
我拖着脚步 刻下一道孤独,艰难不易
从幼年期 到究极体 经过多少不为人知的路,艰难不易
追究原因 这囚禁你 是生死存亡的乌班图,艰难不易
无任何作弊可图,艰难不易
你想拦也拦不住,艰难不易
身在游戏不进则退,艰难不易
凝固了人类无尽的泪,艰难不易
弱肉强食的魔咒将至,艰难不易
保持前进不管多累,艰难不易
即使任督二脉错位,艰难不易
也不会 被拖在 末尾,艰难不易
一家人食返一餐 安乐茶饭,艰难不易
以前会觉得日子过得好象度日如年,艰难不易
时间年复一年?自己一问一答,艰难不易
离开不等于结束,艰难不易
故事仍然继续,艰难不易
毕业生?要有心理准备随时牺牲,艰难不易
离开不等于结束,艰难不易
故事仍然继续,艰难不易
当四合院的茶房飘着茉莉花儿香,生活
当老城角的夕阳回荡拨浪鼓儿响,生活
我一个人蹲在墙根儿没人der,生活
眼睛愣着神儿心中纳着闷儿,生活
怎么今天的我这么没有精气神儿哟,生活
好像写歌词写丢了魂儿哟,生活
大清早路边的馄饨摊儿,生活
一个板儿农骑着板儿车拉着板儿砖上班,生活
豆腐脑一块钱一碗,生活
风声中飘着京韵大鼓的小段,生活
喝一碗豆汁就一个焦圈,生活
青花瓷罐滚着麦芽香的油渣,生活
胡同口的小贩串着冰糖葫芦串,生活
旁边的茶馆摆着一张马三立的相片,生活
缸比盆深盆比碗深碗比碟子深,生活
一放好多年它还是这么哏那,生活
北京的土著pay attention,生活
当四合院的茶房飘着茉莉花儿香,生活
当老城角的夕阳回荡拨浪鼓儿响,生活
站累了蹲着蹲累了坐着,生活
坐累了躺着躺累了趴着,生活
趴累了睡着睡不着眯着,生活
养一只八哥是倍有面子,生活
做人要厚道要知道礼貌,生活
见人要问好千万不要迟到,生活
斤斤计较只会自寻烦恼,生活
不如微笑世界无限美好,生活
公园里老头牵着他的老伴,生活
七八十岁走起路来还是那么有范,生活
含一根冰棍穿一件背心,生活
周口店的血统是非常的纯正,生活
就在那右右右右安门的旁边,生活
有一家狗狗狗狗不理的包子,生活
切切切切糕买了半斤,生活
逛一个天桥好似神仙,生活
就在那右右右右安门的旁边,生活
有一家狗狗狗狗不理的门脸,生活
切切切糕买了半斤,生活
逛一个天桥好似神仙,生活
你们好酷,中国风
伊拉的英文讲的比上海闲话还要好,中国风
还记得小晨光最欢喜看上海滑稽,中国风
周伯春西洋怪气 王汝刚的嘲唧唧,中国风
这是上海文化千万不好抛弃,中国风
现在连外国人学上海闲话啊勿希奇,中国风
新老上海人大家一道和气生财,中国风
但现在的小孩除了读书还好做啥？,中国风
这个世界好像粗看起来么啥意思,中国风
但大到国家 小到城市 希望那好 PEACE,中国风
就算明早老清老早还要上班,中国风
百姓孝为先  民以食为天,中国风
火的运用从古到今历经很多年,中国风
饮食的文化历史久远,中国风
跨出国门  走向世界如今没界限,中国风
把火控制好  炒炖烹炸煎,中国风
蒸我喜欢它能保持原味鲜,中国风
选料广博   变化万千,中国风
加工的不同会使原料超级变变变,中国风
美观的造型变化万千,中国风
不论红案  还是面点  其实用火最关键,中国风
成品上了桌每个人能看见,中国风
吸引眼球  勾你食欲   消魂在一瞬间,中国风
再烦再恼  也已魂飞在九天,中国风
只要吃的好   就不会羡神仙,中国风
中国的味道   各种各样,中国风
东边辣  西边酸   南甜北边咸,中国风
对  美   运用你的味蕾,中国风
用心去做是中国菜精髓,中国风
hai   hai   hai上的什么菜,中国风
博大精深  名扬四海   中国菜,中国风
菜菜菜  哪个你最爱,中国风
满汉全席  宫廷秘方  神奇色彩,中国风
来来来   让你胃口大开,中国风
鲜香滑嫩   麻辣酥脆  吃过再来,中国风
开胃  下酒  上菜  顺序排在第一,中国风
注重  色   香   味   形   器,中国风
色彩美丽   引人食欲,中国风
先入为主  影响宴席大局,中国风
作为中国菜的重要组成部分,中国风
历史悠久   风味独特,中国风
驰名海外  注重技艺,中国风
热制冷吃还有冷制冷吃,中国风
冷菜十分困难十分费事,中国风
酱卤拌醉泡   呛拌腌冻还有糟,中国风
各有各的味   各有各的好,中国风
每人都有自己的喜欢,中国风
十分高超  真的奇妙,中国风
运用神奇的刀工可把瓜果梨桃雕,中国风
每天都要起早  要认真的磨刀,中国风
勤奋思考   努力去练,中国风
新的构思让你想不到,中国风
写实写意  惟妙惟肖,中国风
开阔了眼界   丰富了你的大脑,中国风
厨师也要懂艺术   有着艺术的细胞,中国风
hai   hai   hai上的什么菜,中国风
博大精深   名扬四海   中国菜,中国风
菜菜菜   哪个你最爱,中国风
满汉全席   宫廷秘方   神奇色彩,中国风
来来来  让你胃口大开鲜香滑嫩,中国风
麻辣酥脆  吃过再来,中国风
唐宋元明清   一千多年时间,中国风
chopstick春秋在烹饪中体现,中国风
古国饮食文化   就是一道密令,中国风
孔府宴  全鸭宴  文会宴和烧尾宴,中国风
中国烹饪发展在   日趋成熟,中国风
吃   东南西北   名山河海的五谷杂粮,中国风
山珍水鲜   飞禽走兽  果蔬菌枣,中国风
甚能入药   以食物为原料,中国风
经过烹饪加工具有食疗,中国风
神农尝白草  四味薯蓣膏  天字第一号,中国风
龙肝凤胆似的药膳佳肴,中国风
令你脸若杏   腮若桃   天天花颜月貌,中国风
鲁苏粤川    徽浙闽湘,中国风
我看到中国餐馆在海外一点一点扩张,中国风
这老外总是会想  这菜啊真是个棒,中国风
可烧涮炖炸拌煲炝炒   真是个烦   哈哈,中国风
五味调和百味香   包容   醇厚   调和,中国风
正是the精髓of中餐,中国风
啦.....,中国风
hai    hai   hai上的什么菜,中国风
博大精深   名扬四海   中国菜,中国风
菜菜菜   哪个你最爱,中国风
满汉全席   宫廷秘方   神奇色彩,中国风
来来来   让你胃口大开,中国风
鲜香滑嫩   麻辣酥脆   吃过再来,中国风
hai    hai   hai上的什么菜,中国风
博大精深   名扬四海   中国菜,中国风
菜菜菜   哪个你最爱,中国风
满汉全席   宫廷秘方   神奇色彩,中国风
来来来   让你胃口大开,中国风
鲜香滑嫩 麻辣酥脆  吃过再来,中国风
我就像风一样的自由飘逸,中国风
my life like wind生来就像风,中国风
吹到哪里无所谓我知道你会懂,中国风
我能分辨你和其他人不同,中国风
但我还是会悄悄的消失无影踪,中国风
吾生若清风 自在飘逸灵动纷飞融苍穹,中国风
无需寻觅 耳闻即逝 得缘者自有一日相逢,中国风
遥无踪迹 形成贯通 动静如一,中国风
尘埃沾身无碍 菩提树冠凌空 云中藏匿,中国风
羁绊已了 忧思不入耳则可摒除杂扰,中国风
梦有所寻 如今寻己 存净土于心而舍烦恼,中国风
为人地天道,中国风
为道所悟哀乐哭笑,中国风
情愫浅尝 深则入账,中国风
不如群山溪壤间呼啸,中国风
沐星河饮雨露,中国风
穿梭日夜林泽海湖,中国风
拈落花于净坛中,中国风
绘苍生穹庐景图,中国风
既然记忆你的美好也就不一定每天都想得到,中国风
最极致的美感永远只属于缺憾任我眨眼解除环绕,中国风
飞离这无尽的烦恼 呜呼,中国风
也无所谓浮屠万物 瞩目,中国风
只寻得自己所走的路途,中国风
就算有时泥泞让人却步,中国风
还是自己的那片天空,中国风
淡却世俗 营造无二仙踪,中国风
让失去的渐渐都过去,中国风
把该来的相遇都囊括与兼济包容,中国风
永远飘逸自由的孩子只会坐在云端长大,中国风
然后掠过你的身旁就一刹那 再让风景入画,中国风
my life like wind生来就像风,中国风
吹到哪里无所谓我知道你会懂,中国风
我能分辨你和其他人不同,中国风
但我还是会悄悄的消失无影踪,中国风
周围安静只有无数路灯才能够把你去照清楚,中国风
再次看见你我装作淡定却不能平静自如,中国风
随着脚步 帮你吹散一切乌云密布,中国风
但那时你好像还不知道我随时会被吹走,中国风
任我飘来飘去 放大缩小焦距 身体依旧围绕你,中国风
交流着谜语,中国风
原谅无形无息瞬息万变一切都不会去依附你,中国风
my life like wind生来就像风,中国风
吹到哪里无所谓我知道你会懂,中国风
我能分辨你和其他人不同,中国风
但我还是会悄悄的消失无影踪,中国风
我来诠释how to be a man,diss
渴望中的东西让我理智清醒滴酒不沾,diss
独自关上房门长城般的掌声与我无关,diss
让他们说他们笑他们扯 把7-11都吃没得,diss
像闷声发大财的煤老板儿 醒来都忘记是睡到哪儿,diss
武汉到昆明从西安到重庆的每一站嗨起来,diss
辗转反侧感到焦虑忐忑面对新的选择做得如此简洁,diss
我不失败就会有人心急如焚 我的过去你们根本经历不成,diss
每一个都抵任何厂牌8个,diss
进军欧美市场消灭NIGGA HATER,diss
2k骑扣对手不停当我背景,diss
进账信息来临我刚睡醒,diss
very special chigga 作品质量不怕batter NIGGA,diss
变身中国BIGGIE数着 RED MONEY,diss
homie经历监狱风云这种剧情可以拍成部电视剧,diss
却拍成了MV做成T恤光盘项链到全世界各地去,diss
黄子韬feat WIZ 我们统治地球那也没什么不可能,diss
如果演出为理由办护照孙悟空变成超级赛亚人,diss
你硬是以为这儿年生搞说唱的还在街上跟你两个 摩擦x4,diss
你的手机没得CDC都显得档次低,diss
游戏机我每天耍 make 生意 to the top,diss
李老师都喊你多听评书端起盖碗茶,diss
在昨天晚上新闻里面说 有一场残酷的谋杀,diss
案发时间凌晨一点过 出事的地方就在我们楼下,diss
凶手就是海尔兄弟 整个过程非常顺利,diss
远离几百几千公里 POPO没有足够证据,diss
导致罪名无法成立 购买奢侈品牌然后找美女去巴黎,diss
走遍全球每个角落最后到意大利,diss
好多前辈没有进步感受到了压力 如果现在秒杀他们我都懒得用必杀技,diss
为了这一场战斗能胜利的敌人 和敌人都组成了联营,diss
而目前的局面也清晰够明显你无法来阻止我拼命地前进,diss
HOOK 老干妈 老干妈 老干妈 sauce,diss
老干妈卖到国外 成为了老外最爱,diss
进口的奢侈食物,diss
老干妈 SPICY 老干妈 帅,diss
老干妈寻找着下饭的角落,diss
打通了全球的搭配的宝座,diss
成为了美食家最爱的老婆,diss
明明就不需要胸肌来包裹,diss
炒 炒 炒 炒 用老干妈来炒饭,diss
整 老干妈弄一个火锅底料~~ 辣到火爆,diss
豆瓣儿酱散发着危险信号~~ 没开玩笑,diss
色香俱全加嘎嘣脆 价值连城的美味从不勾兑,diss
让我微辣香辣麻辣 冲击 你的 胃,diss
蘸酱界的大麻爸爸 吸引 你的 嘴,diss
尝口 老干妈火辣辣 不喝假香槟扩大到全球化,diss
THE GOD MOTHER是我的AKA,diss
LIKE TRAP BOSS不停地需要PAY DAY,diss
老干妈 HIGH  老干妈 派,diss
老干妈 RIGHT 老干妈 爱,diss
UMM 下饭肯定找老干妈,diss
HOOK 老干妈 老干妈 老干妈 sauce,diss
老干妈 老干妈 老干妈 sauce,diss
当我掏出老干妈 让金发的看到都惊讶,diss
让我给你倒一口让你垂涎MADE IN CHINA的液体 SO HOT,diss
SO HOT 吃完了能当学霸 来回的机票换购老干妈,diss
UMM MAYBE 你 可以百分百的相信老干妈 从不需要FAKE,diss
OHH 美女 你 可以突如其来打开我的罐头 用舌头轻薄,diss
AHH 辣 妹你别害怕 SO HU GE的直径 你都吞不下,diss
HOOK 老干妈 老干妈 老干妈 sauce,diss
我的哥们坐在窗外 我面前有只mic,diss
把我最珍贵的爱给你们每个人一份儿,diss
别问我为什么 你自己闻闻这个味儿,diss
但是我的心里除了麦还有爱,diss
内些不挣钱的事儿,diss
哥们一直都在干着,diss
你们在旁边看,diss
看好了我们怎么办的,diss
直到这钱真的赚了,diss
排着队往里面钻的,diss
内几个背后指指点点,diss
脸色惨淡的,diss
对沙皮看都不带看的,diss
芝麻点儿小事儿大吵大闹,diss
就说别人完蛋的,diss
真算了 叶公好龙的团体赶紧解散吧,diss
我歌词把你击破,diss
揭穿假的流氓完美完成,diss
然后转身经过,diss
是真脏的干嘛又给自己喷的那么香,diss
这就是你们日思夜想的 gangster 吗,diss
我不是什么大牌也不是明星,diss
懦弱的将领带着几个迷糊的兵,diss
你的方向在哪 他们都分不清,diss
画个饼 给你看 以后给你吃,diss
带你去梦想的彼岸,diss
一次次屡败又屡战,diss
他们心术不正 眼神就有点飘,diss
你看我 我看你 都点头哈点腰,diss
不要总是盯着胜败 花还没结果,diss
我根本就不可能会和你们谈论2 pac,diss
我不会在意 thug life 的这层外衣,diss
一个流行的 beat 感染了一大批,diss
反正垃圾唱给垃圾都是一群垃圾,diss
我如今生在凡尘也不过而立之年,diss
也有过太多谄臣进献了儿戏之言,diss
想让我踏踏实实在老家兢兢业业,坚持
而那些傻傻痴痴的人们殷殷切切,坚持
没信过所谓的规矩和流言蜚语,坚持
我难以舍弃我多年的梦,坚持
也想用所谓的规律让我变得畏惧,坚持
我坐得端更生来行的正,坚持
我本非百里之才却一直活在百里,坚持
但心中无法释怀像石头沉入海底,坚持
前路在千里之外对自己从未怀疑,坚持
我从来不相信我会做不到,坚持
把懦弱留在故乡里落泪或是笑,坚持
我总是浮想起 牧场里 胡杨底,失败
牧羊女 不讲理的为梦想敷着药,失败
我总会成功但总是骗你,失败
誓言都说的郑重是怕你惦记,失败
我总说明日复明日一定就在明天,失败
其实是不敢面对我对你的歉意,失败
因为我总是不愿意去承认我失败,失败
喝醉了会失态 所以装的坚强,失败
因为我害怕失去所以把拥有的爱,失败
抛开千里之外 最后升入天堂,失败
我们总假装坚强最后却骗了自己,失败
每当最无助的时候最想见的是你,失败
与其说是对梦的坚持 不如说是偏执,失败
到头来最难抉择的还是钱和自己,失败
我们要如何选择钱还是信仰,失败
是该昂起头离开还是潜伏着进场,失败
总是要顾虑家人却成为家人的顾虑,失败
拒绝横流的物欲眼看着他人变的富裕,失败
那不是我的目的我们不相为谋,失败
话不投机的敷衍让我不想回头,失败
每次在故乡回眸说好了一刀两断,失败
与梦想互相追求到头来一拍两散,失败
看那些生旦净末丑,失败
披挂的将军征战兵握手,失败
只因为现实太虚伪所以追求台上的真,失败
爱的无法自拔所以心才伤的深,爱情
我们总是在路上因为不敢停下,爱情
停止不前的人却对我胡乱评价,爱情
为了梦想是自私是因为梦不是你的,爱情
可真正拥有过梦的人又有几个,爱情
人生几何 呜呼哀哉,爱情
梦想和现实总是被人无故拆开,爱情
想要嫁给爱情首先爱你自己,爱情
挣扎的人生是他是我是你,爱情
社会主义国家人民地位高,积极
反动派被打倒,积极
帝国主义夹着尾巴逃跑了,积极
全国人民大团结,积极
掀起了社会主义建设高潮,积极
建设高潮,积极
共产党是人民的好领导,积极
全心全意为了人民立功劳,积极
坚决跟着共产党,积极
要把伟大祖国建设好,积极
建设好,积极
社会主义江山人民保,积极
江山人民人民江山坐得牢,积极
反动派想反也反不了,积极
社会主义社会保 人民江山坐得牢,积极
反动派想反也反不了,积极
共产主义社会一定来到一定来到,积极
中国制造才是最帅的,积极
中国的说法才是你最爱的,积极
无数个经典的诞生不过无心插柳,积极
不做到前无古人后无来者誓不罢休,积极
我的政治和rules不用谁来插手,积极
Niggaz Wit Attitudes成立在1986,积极
做事很嚣张 为人很低调,积极
下一秒什么动作总出乎你意料,积极
四个音调配合双押韵的技巧,积极
Hip-Hop是我的标签和生活的基调,积极
我说唱很暴力打得你直喷鼻血,积极
没有相同的信仰 只有对先烈的敬仰,积极
谁能阻挡我扩大在亚洲的影响,积极
在这片领域我目中无人 无所不能,积极
富贵不淫 贫贱不移 无所不及 出其不意,积极
忠贞不渝 自强不息 修炼出八块腹肌,积极
临危不惧 宁死不屈 我饶舌至死不渝,积极
我学不会那行云流水 龙飞凤舞的书法,积极
童声饶舌的怪咖 就像出自山海经,积极
却不过是个爱打麻将的平民百姓,积极
I represent China 让世界学中文,积极
我不是火影忍者 怎么可能分身,生活
你不是FBI 用不着你来调查我身份,生活
不知不觉之间你已走了21年,生活
我每天听着你的歌每首都扣动心弦,生活
那些词在我心间 转换成一种力量,生活
而那些感动 画面都那么具象,生活
是你的影响让我写出我的第一个字,生活
我走着野路子 野出了真实的特质,生活
生活的破事太多了 像一场场测试,生活
做过了错事多了 也才能学会克制,生活
那些个末日 是你的歌在帮我度过,生活
把你的精神 在往我血液里面注射,生活
带我走进了社会 走出了宿舍,生活
可是我的心却留在Real HipHop的部落,生活
现在我多么希望你还能够活着,生活
延续着thug life 谱写着你的著作,生活
让时间再慢一点 Let's slow down,生活
my hero在天堂 life goes on,生活
ready to die 使你在街头声名狼藉,生活
挂在墙上的Brooklyn way让我难以忘记,生活
开始在街头hustle 再到成为说唱传奇,生活
让我学会保持自信,成功
不管穿着还是作品,成功
这让我觉得过瘾,成功
你离开后的生活是我所珍藏的CD,成功
Juicy没能阻止悲剧 发生在1997,成功
你和Pac被媒体贴上宿敌的标签,成功
可我清楚的记得你们兄弟同台表演,成功
Who Shot Ya？在我看来不是写的他,成功
但是Pac的Hit'em Up 彻底让你们关系崩塌,成功
身正不怕影子斜 也没做太多考虑,成功
big poppa 我知道你的flow依然流利,成功
愿Party And Bullshit在天堂继续,成功
首先记住我的名字 dyoself yao,成功
看谁是谁的最终解药 并不需要 问你知不知道,迷茫
在控制声调 看电梯依然升降 穿越8度空间,迷茫
太多灵魂抽插无法预料,迷茫
也别太炫耀 就算中了圈套 我也并不在意,迷茫
涂了蜜的嘴巴需要什么检讨,迷茫
看好你的钱包 黑天白夜颠倒,迷茫
受了伤的鸟儿靠在树枝等待你的面包,迷茫
谁梦里又是谁在尖叫,迷茫
划破这片温柔的夜 用迷人的剑,迷茫
不停鞭打你的常规底线,迷茫
经不住这考验,迷茫
安静 的等待,迷茫
穿过隧道的你是否来到我的面前,迷茫
问你是否还在沉浸 这片繁华世界,迷茫
忘了你的承诺 忘了你的自我的表现,迷茫
周围全是表演,迷茫
你想扮演什么角色,迷茫
别忘了世道轮回而光阴似箭,迷茫
这一切让我留恋 亲手搭配过的色彩,迷茫
既然做出了决定那就无法再次更改,迷茫
如果太多复杂搭配最终会造成破坏,迷茫
看我绕一圈再回来,迷茫
让我再次带你回到地下,迷茫
那就让绕一圈再回来,迷茫
让我再次带你回到地下,迷茫
那就让绕一圈再回来让我把这势力扩大,迷茫
那就让绕一圈再回来让我慢慢开始融化,迷茫
ya know ma know ma style敲打着节奏,迷茫
作风潇洒的穿过街道 主动将答案揭晓,艰难不易
在这儿的气温刚好 适合坐下商讨,艰难不易
不用参照着五颜六色作为参考,艰难不易
乱七八糟的瞎编的套路都记好,艰难不易
拼了命的往上跳 跑实际是往下掉,艰难不易
大多是没有礼貌的 通则不痛,艰难不易
痛则不通的感觉真没必要再去比较,艰难不易
我可能还是没有办法化解彼此差异,艰难不易
尝试用音乐缩短距离结果让我诧异,艰难不易
本不是问题的问题问来问去产生分歧,艰难不易
不往高处走的水 滴答滴答,艰难不易
低下头点起来 Dealer快点 洗牌,艰难不易
你面前筹码有几排才配的上这底牌,艰难不易
丹镇北京出品,艰难不易
这些选择都不对 我活的很累,艰难不易
不论收获和失去都得做好准备,艰难不易
本可以 悠然自得的享受一切,艰难不易
但是生活的规律全被水给浇灭,艰难不易
还有谁 愿意接收这份绝望,艰难不易
真正失去的时候播放这首绝唱,艰难不易
所有记录的经过被牵涉成了泡沫,艰难不易
只剩失落我才知道我把心给丢了,艰难不易
我不会罢休的 继续寻找,艰难不易
光的方向 我相信神还给我留了希望,艰难不易
是我的 总归是我的,艰难不易
厄运来临的时候 我不会躲着,艰难不易
到底是谁的选择 让我难过,艰难不易
我知道情绪本就是人造就的杰作,艰难不易
花开花落 谁能让时间倒退,艰难不易
没人教的颓废可我又是怎么学会,艰难不易
那么还需要几扇 能吸音的隔断,艰难不易
拉开我与世界的距离,艰难不易
但是我 还得恢复联系,艰难不易
没错儿 还得恢复所有人的联系,艰难不易
Tons of things to say有很多事情想说,艰难不易
Looking for a brighter day我在寻找美好的,艰难不易
Looking for a brighter day光明的未来,艰难不易
My mind going insane可我就要疯了,艰难不易
Need medicine for my brain我的脑子需要药物,艰难不易
I'm feeling this pain again那种痛苦的感觉又来了,艰难不易
Keep on going astray一次一次的,艰难不易
That's why me need to grab my pen and some paper我需要笔和纸,艰难不易
It's time for me to get it out是时候该拿出来了,艰难不易
Getting wiser有智慧,艰难不易
And think about my own future为了自己的未来,艰难不易
I dedicate this one我把这个,艰难不易
To all my better and stronger soldiers送给和我一样的战士们,艰难不易
砍断了所有不该有的联系,背叛
看清楚谁是藏在我身边的奸细,背叛
他们的奸计,背叛
依附于所谓的关系,背叛
需要做个了断,背叛
有舍才有得那有什么不好办,背叛
不好看 的也就只是我的脸色,背叛
一直追的不过也就只是声名显赫,背叛
那有什么放不下,背叛
何必一直唱胡话,背叛
过江的泥菩萨还要为别人祈福吗,背叛
为了名利都快疯了才发现是黄粱一梦,背叛
不需要的全都扔了没什么能陪我一生,背叛
如果站在食物链的顶端才算脱离底层,背叛
那有多少人这一辈子都等于白白牺牲,背叛
有舍才有得 他们总是这样说,背叛
都想着给你上一课还教你怎么做,背叛
都说是过来人等着给你答疑解惑,背叛
可这些过来人没有一个 能给我结果,背叛
满嘴的忠孝仁义 都讲得神气,背叛
搞得神秘 就只有他追的方向是真理,背叛
真算了 我选择远离这样的口贩子,背叛
不惯着 把所有的联系全都砍断了,背叛
I've been lost upon my way我迷失了方向,背叛
Tons of things to say有很多事情想说,背叛
Looking for a brighter day我在寻找美好的,背叛
Looking for a brighter day光明的未来,背叛
My mind going insane可我就要疯了,背叛
Need medicine for my brain我的脑子需要药物,背叛
I'm feeling this pain again那种痛苦的感觉又来了,背叛
Keep on going astray一次一次的,背叛
That's why me need to grab my pen and some paper我需要笔和纸,背叛
It's time for me to get it out是时候该拿出来了,背叛
Getting wiser有智慧,背叛
And think about my own future为了自己的未来,背叛
I dedicate this one我把这个,背叛
To all my better and stronger soldiers送给和我一样的战士们,背叛
这奇怪的时代 破坏 还在往天上盖,diss
人民盲目的崇拜着自己创造的一切,diss
盖住了地上的血迹 切断着联系,diss
文明和科技 让城市变得越来越脏,diss
无数看不见的颗粒 遮住了太阳光,diss
追光的炎热 折射 打破了沉默,diss
纸张的颜色 祝贺 定义了娱乐,diss
思维的贫穷不满足唤醒着下一个,diss
如果你不服 就走好脚下的路,diss
别太早的加入 寻找 登天的一步,diss
当你在这条孤独的路上感到无助,diss
别忘了 曾经无数次循环的Loop,diss
别怪我Do it real,diss
别怪我Hustle,diss
赚到你Trouble,diss
难怪你只能做Faker,diss
别怪我Do it real,diss
别怪我Hustle,diss
赚到你Trouble,diss
你从高空已败落,diss
提着刀锋的骇客,diss
立刻掏空你脉络,diss
拨开皮孬种外壳,diss
穿着脏了的Nike,diss
都像是Air Mag,diss
状态要是我概括,diss
干谁都一笔带过,diss
踏过雾里的云去飞行多轻盈,diss
无所谓得到利于名让双眼晶莹,diss
hater爱想听不听的风格,diss
everything都精英 keep moving,diss
如履薄冰的核心,diss
懒得玩快嘴真的觉得生硬boring,diss
Triple H多了我的黑粉,diss
难道都不知道我的每个风格随便都能拿捏得稳准狠,diss
不用看歌词本,diss
记不记得那个梗,diss
韵脚可以在你乳头残留无数个吻,diss
“为什么你都不写这种风格”,diss
“不喜欢你的什么箫声代表中国”,diss
懒得做一些你们爱的肤浅是怕的我的速度太快把你脖子和下巴缝合,diss
不爱我那就更恨我,diss
没有不会的职业我都认证过,diss
倘若 囊括 掌舵,diss
这场比赛小朋友还不胜任 纷纷躲,diss
一致质疑 立不起来的旗帜,diss
而缺失了气质的仪式我都歧视,diss
你敌斥这局势 我艺术的极致,diss
就是技术也弃置 也能够让你去世,diss
任何 风格 中和 喷薄,diss
KingBrain 都能玩转,diss
争夺 份额 像巴菲特乔布斯股灾垄断,diss
别怪我Do it real,diss
别怪我Hustle,diss
赚到你Trouble,diss
多少人是真的Hiphop粉去微博看回复,diss
喜欢喷我的大多是觉得我不足够入乡随俗,diss
我一席白衣穿梭泥泞里的菩提树,diss
如果我做你爱的风格半小时就能结束,diss
赚同价位最炫的Fresh Car,diss
看红花会如何和去驾驶它,diss
别插队 双马尾 妆化毁 农家妹 home趴被我们给惩罚,diss
傀儡的脏辫给撕下 Boy,diss
做我的toy voice掠夺,diss
Master Flow 熬夜恶魔,diss
同归于尽之后再复活,diss
那我就随便去录个呀,diss
放一个主流的loop来呀,diss
写一个上口的Hook rap呀,diss
听着你是不是就舒服了呀,diss
主流让你消费,diss
全部都是你自己都能够预见到的,diss
方向 战略 完全洗脑,diss
让出现频率次数高的就是好的,diss
还不明白出这首歌所表达的含义？,diss
你高喊Kingbrain 从我出生技术保持精湛,diss
罢免你所有的头衔最后把你太阳穴给击穿,diss
用我的god flow,diss
这次做回怪兽,diss
残害 规则成王败寇,diss
别怪我 你一直留在原地,diss
别怪我 这是前戏没用全力,diss
别怪我 钻石般无懈可击,diss
别怪我 怪自己,diss
别怪我do it real,diss
别怪我hustle,diss
赚到你trouble,diss
难怪你只能做faker,diss
平凡的誓言,爱情
当昨天倒转回到从前,爱情
山川 云端 银河 地平线,爱情
时间说 誓言 能听的见,爱情
她望着天 她往下潜,爱情
风沙 搁浅,爱情
万般 怨念,爱情
贫瘠的花 重新粉刷,爱情
还记得吗 远方与家,爱情
故事 谜底,爱情
所有 意义,爱情
幸运的是我还在,爱情
庆幸的爱都还在,爱情
感谢你拒之门外,爱情
体会到低谷各种失败,爱情
回忆很美好不想回去,爱情
铁了心根本就没有余地,爱情
这年纪不会再相信奇迹,爱情
平凡的才是生命的真谛,爱情
多久没回过的家,爱情
那座没翻过的山,爱情
心里没过去的坎,爱情
终有一天会峰回路转,爱情
真实的人谁没曾垮过,爱情
对成功 十足的把握,爱情
即使信心当初被打落,爱情
但我有权不保持沉默,爱情
当昨天倒转回到从前,爱情
山川 云端 银河 地平线,爱情
时间说 誓言 能听的见,爱情
她望着天 她往下潜,爱情
风沙 搁浅,爱情
万般 怨念,爱情
贫瘠的花 重新粉刷,爱情
还记得吗 远方与家,爱情
故事 谜底,爱情
所有 意义,爱情
我还在站着 他们惊叹了,爱情
麦克风攥着 时代变换了,爱情
太多的汗 和那些期盼,爱情
多少人希望我毁于一旦,爱情
脚下的坎坷 取悦着看客,爱情
跌倒又爬起 我还在站着,爱情
一步又一步的在往前爬,爱情
荆棘和尖刀在不停的扎,爱情
窒息的压力 弥漫在空气,爱情
闷在了胸口心仍然会痛,爱情
平凡的挣扎 没人歌颂,爱情
诋毁声在践踏着我的梦,爱情
艰难的抉择 和痛苦的离合,爱情
在城市的角落里不停的,爱情
飘落 交错 交涉 萧瑟,爱情
我只要这世界记得我曾经来过,爱情
今生 前世 写下的字迹,爱情
路是 旷野 随风在肆虐,爱情
梦里 懂你 谁能给谁解救,爱情
中意 众里 妄想寻觅自由,爱情
借酒 消愁 明月几时有,爱情
锦绣 娇柔 歌舞几时休,爱情
低声下气那么久日子也没见得好过,成长
我承认自己的确也不是什么好货,成长
还记得老师把我的座位安排在 班级角落,成长
一路走过 再感叹那些排挤 真的好弱 uh,成长
你们看我不爽 打我也不痛不痒,成长
在我的背后玩着那些下三滥的小伎俩,成长
动脑子想一想 是谁更加没教养,成长
